Location,Latitude,Longitude,Time,Temp_F
ELY MN,47.903237,-91.867087,2023-07-23 11:31:33,70
Death Valley CA,36.5323,-116.93,2023-07-23 11:31:33,74
Maryville MO,40.346102,-94.872471,2023-07-23 11:31:33,75
Temescal Valley CA,33.79085,-117.50394,2023-07-23 11:31:33,95
ELY MN,47.903237,-91.867087,2023-07-23 11:32:33,73
Death Valley CA,36.5323,-116.93,2023-07-23 11:32:33,75
Maryville MO,40.346102,-94.872471,2023-07-23 11:32:33,74
ELY MN,47.903237,-91.867087,2023-07-23 11:33:33,73
Death Valley CA,36.5323,-116.93,2023-07-23 11:33:33,72
Maryville MO,40.346102,-94.872471,2023-07-23 11:33:33,73
ELY MN,47.903237,-91.867087,2023-07-23 11:34:33,77
Death Valley CA,36.5323,-116.93,2023-07-23 11:34:33,71
Maryville MO,40.346102,-94.872471,2023-07-23 11:34:33,68
ELY MN,47.903237,-91.867087,2023-07-23 11:35:33,76
Death Valley CA,36.5323,-116.93,2023-07-23 11:35:33,77
Maryville MO,40.346102,-94.872471,2023-07-23 11:35:33,73
